GBCODE,W1,W2
340823,0.2265,0.7735
340824,0.3314,0.6686
340825,0.2281,0.7719
340826,0.2973,0.7027
340827,0.3295,0.6705
340828,0.2347,0.7653
340881,0.4054,0.5946
341001,0.4085,0.5915
341021,0.2871,0.7129
341022,0.2827,0.7173
341023,0.352,0.648
341024,0.3224,0.6776
341100,0.415,0.585
341122,0.3349,0.6651
341124,0.453,0.547
341125,0.2747,0.7253
341126,0.2796,0.7204
341181,0.5385,0.4615
341182,0.3835,0.6165
341200,0.3149,0.6851
341201,0.3149,0.6851
341221,0.1987,0.8013
341222,0.3408,0.6592
341621,0.264,0.736
341622,0.2569,0.7431
341225,0.2292,0.7708
341226,0.3005,0.6995
341623,0.2499,0.7501
341601,0.2801,0.7199
341282,0.3822,0.6178
341301,0.3121,0.6879
341321,0.3585,0.6415
341322,0.2185,0.7815
341323,0.2526,0.7474
341324,0.1849,0.8151
341501,0.3483,0.6517
341521,0.3498,0.6502
341522,0.2145,0.7855
341523,0.3997,0.6003
341524,0.3068,0.6932
341525,0.5945,0.4055
341802,0.4078,0.5922
341881,0.6132,0.3868
341821,0.3245,0.6755
341822,0.4617,0.5383
341823,0.3755,0.6245
341825,0.3719,0.6281
341824,0.4114,0.5886
341401,0.4065,0.5935
341421,0.3983,0.6017
341422,0.3594,0.6406
341423,0.3338,0.6662
341424,0.4125,0.5875
341702,0.4857,0.5143
341721,0.4371,0.5629
341722,0.3199,0.6801
341723,0.4034,0.5966
350101,0.6195,0.3805
350121,0.4451,0.5549
350122,0.3521,0.6479
350123,0.3677,0.6323
350124,0.3056,0.6944
350125,0.319,0.681
350128,0.3184,0.6816
350181,0.3813,0.6187
350182,0.4073,0.5927
350201,0.8833,0.1167
350212,0.6731,0.3269
350301,0.5078,0.4922
350322,0.3684,0.6316
350401,0.5112,0.4888
350421,0.4564,0.5436
350423,0.4011,0.5989
350424,0.3039,0.6961
350425,0.4289,0.5711
350426,0.3681,0.6319
350427,0.5725,0.4275
350428,0.4722,0.5278
350429,0.432,0.568
350430,0.3497,0.6503
350481,0.6159,0.3841
350403,0.8189,0.1811
350521,0.4931,0.5069
350524,0.3438,0.6562
350525,0.5277,0.4723
350526,0.695,0.305
350581,0.7381,0.2619
350582,0.5904,0.4096
350583,0.5065,0.4935
350601,0.4673,0.5327
350622,0.3993,0.6007
350623,0.3769,0.6231
350624,0.3285,0.6715
350625,0.4094,0.5906
350626,0.486,0.514
350627,0.4061,0.5939
350628,0.3259,0.6741
350629,0.3724,0.6276
350681,0.4819,0.5181
350700,0.5074,0.4926
350721,0.4567,0.5433
350722,0.4248,0.5752
350723,0.4174,0.5826
350724,0.41,0.59
350725,0.3908,0.6092
350781,0.6668,0.3332
350782,0.5258,0.4742
350783,0.4258,0.5742
350784,0.521,0.479
350800,0.4502,0.5498
350821,0.4114,0.5886
350822,0.3764,0.6236
350823,0.307,0.693
350824,0.2958,0.7042
350825,0.3337,0.6663
350881,0.4735,0.5265
350902,0.5882,0.4118
350981,0.5784,0.4216
350982,0.5038,0.4962
350921,0.3798,0.6202
350922,0.3405,0.6595
350923,0.3654,0.6346
350924,0.4108,0.5892
350925,0.4359,0.5641
350926,0.5653,0.4347
360101,0.6571,0.3429
360121,0.4209,0.5791
360122,0.4912,0.5088
360123,0.4839,0.5161
360124,0.2649,0.7351
360201,0.5631,0.4369
360281,0.3534,0.6466
360301,0.5917,0.4083
360321,0.357,0.643
360401,0.4253,0.5747
360421,0.2951,0.7049
360423,0.3863,0.6137
360424,0.2788,0.7212
360425,0.4756,0.5244
360426,0.6018,0.3982
360427,0.4139,0.5861
360428,0.2162,0.7838
360429,0.328,0.672
360430,0.428,0.572
360481,0.3592,0.6408
360501,0.6157,0.3843
360521,0.4455,0.5545
360601,0.4743,0.5257
360622,0.373,0.627
360681,0.3766,0.6234
360700,0.3754,0.6246
360721,0.2865,0.7135
360722,0.3493,0.6507
360723,0.4682,0.5318
360724,0.2724,0.7276
360725,0.2996,0.7004
360726,0.3171,0.6829
360727,0.5063,0.4937
360728,0.5591,0.4409
360729,0.4138,0.5862
360730,0.2526,0.7474
360731,0.2618,0.7382
360732,0.235,0.765
360733,0.4173,0.5827
360734,0.3452,0.6548
360735,0.308,0.692
360781,0.3494,0.6506
360782,0.3478,0.6522
360901,0.3559,0.6441
360981,0.2843,0.7157
360982,0.3397,0.6603
360983,0.3641,0.6359
360921,0.3975,0.6025
360922,0.2757,0.7243
360923,0.4034,0.5966
360924,0.3968,0.6032
360925,0.3794,0.6206
360926,0.3813,0.6187
361101,0.3973,0.6027
361181,0.5067,0.4933
361121,0.2777,0.7223
361122,0.521,0.479
361123,0.403,0.597
361124,0.5307,0.4693
361125,0.5461,0.4539
361126,0.4079,0.5921
361127,0.2639,0.7361
361128,0.2824,0.7176
361129,0.3955,0.6045
361130,0.4018,0.5982
360801,0.3761,0.6239
360881,0.5691,0.4309
360821,0.3569,0.6431
360822,0.3957,0.6043
360823,0.3388,0.6612
360824,0.3028,0.6972
360825,0.3211,0.6789
360826,0.3593,0.6407
360827,0.2687,0.7313
360828,0.3087,0.6913
360829,0.3281,0.6719
360830,0.3833,0.6167
361002,0.4431,0.5569
361021,0.4286,0.5714
361022,0.3957,0.6043
361023,0.3163,0.6837
361024,0.3213,0.6787
361025,0.3072,0.6928
361026,0.2572,0.7428
361027,0.286,0.714
361028,0.4521,0.5479
361029,0.3865,0.6135
361030,0.3387,0.6613
370101,0.6447,0.3553
370113,0.4688,0.5312
370124,0.4558,0.5442
370125,0.2201,0.7799
370126,0.2162,0.7838
370181,0.4494,0.5506
370201,0.6581,0.3419
370281,0.4795,0.5205
370282,0.4801,0.5199
370283,0.3151,0.6849
370284,0.5424,0.4576
370285,0.4631,0.5369
370301,0.6312,0.3688
370321,0.5218,0.4782
370322,0.345,0.655
370323,0.3909,0.6091
370401,0.4731,0.5269
370481,0.4886,0.5114
370500,0.6002,0.3998
370501,0.6002,0.3998
370521,0.4708,0.5292
370522,0.2546,0.7454
370523,0.3685,0.6315
370601,0.5527,0.4473
370612,0.4655,0.5345
370634,0.2273,0.7727
370681,0.5649,0.4351
370682,0.4076,0.5924
370683,0.4297,0.5703
370684,0.4121,0.5879
370685,0.4976,0.5024
370686,0.3471,0.6529
370687,0.3829,0.6171
370701,0.4696,0.5304
370724,0.296,0.704
370725,0.4156,0.5844
370781,0.4087,0.5913
370783,0.418,0.582
370784,0.3238,0.6762
370785,0.5212,0.4788
370786,0.4768,0.5232
370801,0.4297,0.5703
370826,0.3852,0.6148
370827,0.2685,0.7315
370828,0.3388,0.6612
370829,0.2149,0.7851
370830,0.3013,0.6987
370831,0.3055,0.6945
370832,0.2874,0.7126
370881,0.4728,0.5272
370882,0.6282,0.3718
370883,0.4598,0.5402
370901,0.5035,0.4965
370921,0.3337,0.6663
370923,0.3315,0.6685
370982,0.5108,0.4892
370983,0.4994,0.5006
371001,0.5821,0.4179
371081,0.4611,0.5389
371082,0.5087,0.4913
371083,0.4539,0.5461
371100,0.4708,0.5292
371121,0.3425,0.6575
371122,0.2515,0.7485
371200,0.515,0.485
371300,0.4505,0.5495
371321,0.4422,0.5578
371322,0.3821,0.6179
371323,0.4215,0.5785
371324,0.3136,0.6864
371325,0.4216,0.5784
371326,0.3592,0.6408
371327,0.3608,0.6392
371328,0.3777,0.6223
371329,0.4478,0.5522
371400,0.4305,0.5695
371421,0.2993,0.7007
371422,0.3163,0.6837
371423,0.3117,0.6883
371424,0.4126,0.5874
371425,0.4823,0.5177
371426,0.3753,0.6247
371427,0.4071,0.5929
371428,0.4708,0.5292
371481,0.3284,0.6716
371482,0.4157,0.5843
371501,0.3687,0.6313
371521,0.31,0.69
371522,0.291,0.709
371523,0.3695,0.6305
371524,0.3242,0.6758
371525,0.2391,0.7609
371526,0.3753,0.6247
371581,0.477,0.523
371601,0.4571,0.5429
371621,0.3589,0.6411
371622,0.3069,0.6931
371623,0.4316,0.5684
371624,0.4168,0.5832
371625,0.4967,0.5033
370322,0.345,0.655
371701,0.3501,0.6499
371721,0.3161,0.6839
371727,0.2935,0.7065
371723,0.3387,0.6613
371722,0.3534,0.6466
371724,0.3727,0.6273
371482,0.4157,0.5843
371726,0.3097,0.6903
371728,0.332,0.668
410101,0.6349,0.3651
410122,0.2406,0.7594
410181,0.4533,0.5467
410182,0.4393,0.5607
410183,0.4505,0.5495
410184,0.445,0.555
410185,0.4382,0.5618
410201,0.3546,0.6454
410221,0.2475,0.7525
410222,0.2473,0.7527
410223,0.2471,0.7529
410224,0.2412,0.7588
410225,0.2507,0.7493
410301,0.441,0.559
410322,0.3448,0.6552
410323,0.3422,0.6578
410324,0.3701,0.6299
410325,0.2014,0.7986
410326,0.2279,0.7721
410327,0.2084,0.7916
410328,0.1994,0.8006
410329,0.2122,0.7878
410381,0.4511,0.5489
410401,0.4123,0.5877
410421,0.3057,0.6943
410422,0.2631,0.7369
410423,0.2488,0.7512
410425,0.3009,0.6991
410481,0.4701,0.5299
410482,0.32,0.68
410501,0.3838,0.6162
410522,0.3461,0.6539
410523,0.3505,0.6495
410526,0.151,0.849
410527,0.1733,0.8267
410581,0.4074,0.5926
410601,0.4743,0.5257
410621,0.227,0.773
410622,0.4296,0.5704
410701,0.408,0.592
410721,0.434,0.566
410724,0.3476,0.6524
410725,0.1994,0.8006
410726,0.2601,0.7399
410727,0.2431,0.7569
410728,0.3206,0.6794
